                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.7515,                0.80968,                0.97422,                0.90607,                0.85549,                0.87469,                0.36112,                 1.9928,                0.84425,                 1.0266,              0.0030304,              0.0030304,              0.0030304
                     90,                 1.7434,                0.79902,                0.96895,                 0.9176,                0.86717,                0.88698,                0.37238,                 1.9855,                0.83369,                 1.0279,              0.0029512,              0.0029512,              0.0029512
                     91,                 1.7372,                0.80026,                0.95826,                0.91339,                0.86631,                0.88592,                0.37268,                 1.9536,                0.82737,                 1.0174,               0.002872,               0.002872,               0.002872
                     92,                 1.7431,                0.80418,                0.96514,                0.91464,                0.86121,                0.88417,                0.37872,                 1.9575,                0.82403,                 1.0186,              0.0027928,              0.0027928,              0.0027928
                     93,                 1.7461,                0.80887,                0.96916,                0.90822,                0.86414,                0.87497,                0.36857,                 1.9635,                0.82942,                 1.0249,              0.0027136,              0.0027136,              0.0027136
                     94,                 1.7197,                0.78956,                0.96131,                0.91097,                0.85316,                0.87584,                0.36486,                 1.9823,                0.84247,                 1.0267,              0.0026344,              0.0026344,              0.0026344
                     95,                 1.7318,                0.78921,                0.96839,                0.91818,                 0.8571,                0.87992,                 0.3675,                 1.9904,                0.83232,                 1.0297,              0.0025552,              0.0025552,              0.0025552
                     96,                 1.7198,                0.78443,                0.96198,                0.90051,                0.86781,                0.87527,                0.36846,                 1.9645,                0.83276,                 1.0221,               0.002476,               0.002476,               0.002476
                     97,                 1.7348,                0.78948,                0.97433,                0.90667,                0.87212,                0.88214,                0.36775,                 1.9946,                0.82687,                 1.0319,              0.0023968,              0.0023968,              0.0023968
                     98,                 1.7391,                0.79874,                 0.9755,                0.90434,                0.87087,                0.87304,                0.36737,                 1.9787,                0.83168,                 1.0289,              0.0023176,              0.0023176,              0.0023176
                     99,                 1.7167,                0.78451,                0.95777,                0.90789,                0.86943,                0.87997,                0.37078,                 1.9768,                0.82294,                 1.0267,              0.0022384,              0.0022384,              0.0022384
                    100,                 1.7083,                0.77068,                0.95527,                 0.9108,                0.86527,                0.88853,                0.37631,                 1.9628,                 0.8175,                 1.0205,              0.0021592,              0.0021592,              0.0021592
                    101,                 1.6976,                0.76645,                0.96457,                0.91949,                0.86395,                0.88924,                0.38069,                  1.962,                0.81377,                 1.0242,                0.00208,                0.00208,                0.00208
                    102,                 1.6958,                0.76608,                0.95846,                0.91997,                0.86791,                0.88924,                0.37174,                 1.9832,                0.81386,                 1.0273,              0.0020008,              0.0020008,              0.0020008
                    103,                 1.7024,                 0.7672,                0.95766,                0.92126,                 0.8755,                0.90031,                0.37679,                 1.9906,                 0.8258,                 1.0299,              0.0019216,              0.0019216,              0.0019216
                    104,                 1.7158,                 0.7721,                0.96096,                0.92269,                0.85744,                0.88771,                0.37432,                 1.9816,                0.82934,                 1.0285,              0.0018424,              0.0018424,              0.0018424
                    105,                  1.696,                0.77308,                0.96206,                0.91758,                0.87511,                0.89226,                 0.3755,                 1.9839,                0.82471,                 1.0269,              0.0017632,              0.0017632,              0.0017632
                    106,                 1.6947,                0.76268,                0.96137,                0.90722,                0.87442,                0.88181,                0.37353,                 1.9708,                0.81492,                 1.0284,               0.001684,               0.001684,               0.001684
                    107,                 1.7074,                0.77606,                0.95538,                0.91575,                0.86184,                0.88031,                0.36611,                   1.99,                0.82603,                 1.0301,              0.0016048,              0.0016048,              0.0016048
                    108,                 1.7222,                0.77995,                0.95677,                0.91524,                0.86825,                0.87851,                0.36488,                 1.9967,                0.81715,                  1.033,              0.0015256,              0.0015256,              0.0015256
                    109,                 1.6745,                 0.7556,                0.94607,                0.91675,                0.86526,                0.88442,                0.37019,                  1.993,                0.81063,                  1.034,              0.0014464,              0.0014464,              0.0014464
                    110,                 1.6884,                0.74054,                0.95687,                0.91442,                 0.8603,                0.88465,                0.37414,                  1.976,                0.80291,                 1.0303,              0.0013672,              0.0013672,              0.0013672
                    111,                  1.694,                0.75701,                0.95844,                 0.9133,                0.86906,                0.88425,                0.37683,                 1.9701,                0.80594,                 1.0238,               0.001288,               0.001288,               0.001288
                    112,                 1.6657,                0.73994,                0.94774,                0.91516,                0.86528,                0.88257,                 0.3676,                 1.9913,                0.81755,                 1.0317,              0.0012088,              0.0012088,              0.0012088
                    113,                 1.6769,                0.75094,                0.94571,                0.90775,                0.86479,                0.87497,                0.36678,                 1.9817,                0.80763,                 1.0261,              0.0011296,              0.0011296,              0.0011296
                    114,                 1.6553,                0.73269,                0.94632,                0.90587,                0.87643,                0.89127,                0.37532,                  1.976,                0.80007,                 1.0283,              0.0010504,              0.0010504,              0.0010504
                    115,                 1.6007,                 0.6551,                0.97658,                0.91732,                0.86291,                0.88565,                0.37568,                 1.9646,                0.79618,                 1.0286,              0.0009712,              0.0009712,              0.0009712
                    116,                  1.589,                0.65937,                0.97005,                0.92037,                0.85478,                0.88192,                0.37234,                 1.9678,                0.80658,                 1.0268,               0.000892,               0.000892,               0.000892
                    117,                  1.608,                0.66837,                 0.9756,                0.91577,                0.87002,                0.88912,                0.37609,                 1.9694,                0.80162,                 1.0253,              0.0008128,              0.0008128,              0.0008128
                    118,                 1.5856,                 0.6484,                0.97053,                0.91915,                0.86402,                0.88634,                0.37333,                 1.9746,                0.79795,                  1.029,              0.0007336,              0.0007336,              0.0007336
                    119,                  1.586,                0.65159,                 0.9697,                0.91207,                0.86871,                0.88438,                0.37455,                 1.9668,                0.79552,                 1.0287,              0.0006544,              0.0006544,              0.0006544
                    120,                 1.5874,                0.65241,                0.97251,                0.90695,                0.86643,                0.87547,                0.37082,                 1.9704,                0.79903,                 1.0274,              0.0005752,              0.0005752,              0.0005752
                    121,                 1.5731,                0.65399,                 0.9598,                0.91124,                0.86927,                0.88276,                0.37668,                 1.9578,                0.78592,                 1.0254,               0.000496,               0.000496,               0.000496
                    122,                 1.5871,                0.64387,                0.97406,                0.90467,                0.86753,                 0.8798,                0.37421,                 1.9627,                0.79187,                  1.026,              0.0004168,              0.0004168,              0.0004168
                    123,                 1.5803,                0.65922,                 0.9654,                0.91373,                 0.8581,                 0.8793,                 0.3715,                 1.9713,                0.79453,                 1.0283,              0.0003376,              0.0003376,              0.0003376
                    124,                 1.5673,                0.64491,                0.96048,                0.91757,                0.86442,                0.88675,                0.37525,                 1.9709,                0.79038,                 1.0258,              0.0002584,              0.0002584,              0.0002584
